,Course Code,Average Grade
292,ES 208,5.986666666666666
293,ES 302,8.063157894736841
294,ES 493,8.391304347826088
295,ES 495,7.7368421052631575
296,ES 670,8.25925925925926
297,ES 682,7.4015748031496065
298,ET 601,9.166666666666666
299,ET 610,8.104347826086956
300,ET 612,8.790322580645162
301,ET 613,9.088235294117647
302,ET 615,9.214285714285714
303,ET 619,9.409090909090908
304,GNR401,7.205555555555556
305,GNR603,7.88268156424581
306,GNR605,8.25
307,GNR607,7.586734693877551
308,GNR619,7.753846153846154
309,GNR621,8.029940119760479
310,GNR623,8.333333333333334
311,GNR627,8.840579710144928
312,GNR638,8.295698924731182
313,GNR653,8.310344827586206
314,GNRS01,8.333333333333334
315,GP 401,8.88888888888889
316,GP 403,6.950617283950617
317,GP 407,8.704225352112676
318,GP 413,8.273972602739725
319,GP 503,6.424657534246576
320,GP 505,6.43859649122807
321,GP 519,8.894736842105264
322,GP 521,8.75
323,GS 407,9.187919463087248
324,GS 415,8.815068493150685
325,GS 421,8.604026845637584
326,GS 435,9.205479452054794
327,GS 507,8.252525252525253
328,GS 517,7.475524475524476
329,GS 527,8.464285714285714
330,GS 535,8.12206572769953
331,GS 537,7.726666666666667
332,GS 539,9.284671532846716
333,GS 543,8.244813278008298
334,GS 647,7.913043478260869
335,GS 649,9.232558139534884
336,GS 663,8.142857142857142
337,GS 671,8.36923076923077
338,GS 673,7.871428571428571
339,GS 675,7.590604026845638
340,GS 679,7.355371900826446
341,GS 683,8.157894736842104
342,GS 688,8.647058823529411
343,GS691,7.8
344,GS 691,8.84375
345,GS 694,8.351145038167939
346,GS 701,7.6022727272727275
347,GS 815,9.3
348,GSS801,9.0
349,EC 101,7.664709225232052
350,HS 200,7.61741357234315
351,EC 221,7.779310344827586
352,EC 223,7.573426573426573
353,EC 225,6.818181818181818
354,EC 227,7.492857142857143
355,HS 301,7.730316742081448
356,HS 303,7.525704809286899
357,HS 305,7.066838046272494
358,EC 306,7.554744525547445
359,EC 308,7.688888888888889
360,EC 311,7.829457364341085
361,EC 313,7.548148148148148
362,EC 315,7.6940298507462686
363,EC 402,7.63302752293578
364,HS 412,7.044776119402985
