Course Code,Average Grade,CBS,nXX,Course Name,Course Type
CE 768,8.209302325581396,2.536311901925133,7,Urban Water and Environmental Management,Theory
CE 769,8.307692307692308,2.2328646306977933,7,Coastal and Ocean Environment,Theory
CE 771,7.738636363636363,4.434313100291829,7,Optimization in Civil Engineering,Theory
CE 781,7.524590163934426,1.4682225065084782,7,Advanced Foundation Engineering,Theory
CE 782,7.426470588235294,1.7951653953754625,7,Advanced Soil Mechanics,Theory
CES801,9.410596026490069,6.586574717105241,8,Seminar,Seminar
CH 105,7.052821128451381,2.1118505912300782,1,Organic & Inorganic Chemistry,Theory
CH 107,7.434204275534442,3.2682566933405592,1,Physical Chemistry,Theory
CH 223,6.771739130434782,2.4839220919332448,2,Structure and Stereochemistry,Theory
CH 225,7.271186440677966,2.858925657175108,2,Data Analysis for Chemists,Theory
CH 227,5.6,1.1888107916492838,2,Introduction to Transition Metal Chemistry,Theory
CH 229,7.25531914893617,3.1964623683235494,2,Chemical Thermodynamics,Theory
CH 397,9.285714285714286,2.1468708632026576,3,Mini Project I,Other Project
CH 401,6.865671641791045,2.891616696734416,4,Organic Reactions,Theory
CH 403,7.379120879120879,3.5900456350167125,4,Electrochemistry of Solutions and Interfaces,Theory
CH 405,6.945244956772334,2.636990048421377,4,Advanced Transition Metal Chemistry,Theory
CH 425,7.629518072289157,4.209310481044904,4,Chemical Bond and Molecular Geometry,Theory
CH 507,8.339805825242719,5.4570833795615465,5,Methods in Organic Synthesis,Theory
CH 521,8.007575757575758,4.690309508325711,5,Interpretative Molecular Spectroscopy,Theory
CH 546,7.87719298245614,3.771139844373116,5,Introduction to Biomolecules,Theory
CH 547,8.37007874015748,5.447504380540584,5,Organometallic Chemistry,Theory
CH 584,8.40625,3.909370333784141,5,Biophysical Chemistry,Theory
CH 591,9.28125,3.7823837286822006,5,Research Project I,Other Project
CH 593,9.313432835820896,8.677609194209861,5,Project Stage I,Other Project
CH 595,9.5,3.1011299194152144,5,M.Sc. Project I,Other Project
CH 827,8.788461538461538,4.615246749520621,8,Inorganic Complexes,Theory
CHS801,9.052631578947368,6.439082003836732,8,Seminar,Seminar
CH 398,10.0,3.1076599170743577,3,Mini Project II,Other Project
CH 404,7.889570552147239,3.653045733403431,4,Physical Organic Chemistry,Theory
CH 406,7.598765432098766,3.556614109653098,4,Thermal and Photochemical Reactions,Theory
CH 410,8.399317406143345,4.7730469989543085,4,Bio-Inorganic Chemistry,Theory
CH 588,8.412280701754385,4.486776303004178,5,Organic Synthesis,Theory
CH 801,8.96774193548387,6.279709007600517,8,Symmetry in Chemistry,Theory
CL 203,5.796636085626911,1.6661637156865476,2,Introduction to Transport Phenomena,Theory
CL 244,5.855731225296442,0.8445071115403545,2,Introduction to Numerical Analysis,Theory
CL 249,6.546583850931677,2.4311749849741653,2,Computational Methods Lab,Lab
CL 255,6.396551724137931,1.1596022523403289,2,Chemical Engineering Thermodynamics I,Theory
CL 336,7.042253521126761,1.5073492755434297,3,Advanced Transport Phenomena,Theory
CL 405,6.617753623188406,1.858996381266496,4,Process Equipment Selection,Theory
CL 409,6.7933723196881095,1.4374871741577562,4,Material Science,Theory
CL 419,7.075925925925926,2.586791238608328,4,Process Economics,Theory
CL 443,9.227722772277229,7.678430537467738,4,Supervised learning I,Other Project
CL 444,7.490990990990991,3.0407652167107933,4,Safety in Chemical Industry,Theory
CL 455,7.547619047619047,2.966400807105721,4,Design Lab I,Lab
CL 491,9.285714285714286,2.07463046772935,4,B.Tech. Project I,Other Project
CL 601,6.605351170568562,2.1983243281660365,6,Advanced Transport Phenomena,Theory
CL 602,6.117857142857143,3.4553226049772308,6,Mathematical and Statistical Methods in Chemical Engineering,Theory
CL 605,6.629090909090909,2.5655972802954348,6,Advanced Reaction Engineering,Theory
CL 665,6.922480620155039,3.295730143042233,6,Sustainable Engineering Principles,Theory
CL 684,7.5,2.1159005984068027,6,Advanced Process Synthesis,Theory
CL 701,6.332179930795848,1.727293158935165,7,Computational Methods in Chemical Engineering,Theory
CLS801,9.666666666666666,4.607889756319337,8,Seminar,Seminar
CL 706,7.266666666666667,2.160041869187557,7,Molecular Principles in Chemical Engineering,Theory
CL 708,7.01010101010101,2.234023367651649,7,Introduction to Granular Mechanics,Theory
CM 803,7.910112359550562,3.531699750822769,8,Introduction to Climate Change,Theory
CMS801,8.526315789473685,2.285858492071641,8,Seminar,Seminar
CS 101,7.027405362776025,3.103468472293587,1,Computer Programming and Utilization,Theory
CS 207,6.864550264550265,1.8225689676338477,2,Discrete Structures,Theory
CS 213,6.679230152365678,1.8251715069391143,2,Data Structures and Algorithms,Theory
CS 215,7.253077975376197,2.6010480542424625,2,Data Analysis and Interpretation,Theory
