Course Code,Average Grade,CBS,nXX,Course Name,Course Type
EC 802,8.285714285714286,1.6916427453872525,8,Advanced Economic Theory,Theory
HS 807,8.8,4.066866968448944,8,Phenomenology and Existentialism,Theory
HS 811,9.227272727272728,2.4806641197508887,8,Literary Theory,Theory
HS 842,8.692307692307692,2.3464430537242804,8,Philosophy of Language in Sanskrit Literature,Theory
ECS801,9.068493150684931,6.137082838250052,8,Seminar,Seminar
HS 449,7.933333333333334,2.768443580123378,4,"Capitalism : theories, histories, varieties",Theory
HS 640,6.6,0.7626870046525568,6,Civil Society: Its Foundations and Future,Theory
HS 804,8.787878787878787,2.120646864728058,8,Advanced Theory of Society,Theory
DE 101,8.193103448275862,4.368204714158455,1,Art and Design Fundamental 2D,Lab
DE 103,8.527272727272727,6.110694033660694,1,Image Representation and Transformations I,Lab
DE 105,8.2,4.309791217495643,1,Captured Audio and Image Design (Photography & Videography),Theory
DE 121,7.880733944954128,4.215509624613903,1,Design Studio I - Problem Identification,Theory
DE 123,6.423423423423423,0.2197432203309595,1,Introduction to Writing,Theory
DE 125,7.423423423423423,1.7317809943012628,1,"Drawing Tools, Lines and Forms",Theory
DE 131,8.272727272727273,5.208999665258323,1,Design and Human Evolution,Theory
DE 133,8.4,7.138605058572472,1,Applied Science for Designers,Theory
DE 201,7.713286713286713,4.252976647712022,2,2D Visual Studies I - Word and Image,Lab
DE 203,7.405405405405405,3.865259871751312,2,"3D Form Studies I - Aesthetics , Identity and Expressions",Lab
DE 205,8.137931034482758,4.596418112689871,2,Creative Thinking Process and Methods,Theory
DE 207,7.644230769230769,1.8402477223724287,2,Understanding Space and Perspective,Theory
DE 209,7.432432432432432,0.9959912217300576,2,Sculptural Ceramics,Theory
DE 221,7.762237762237762,3.5289739204214903,2,Design Studio III - Creative Explorations,Theory
DE 231,7.426573426573427,1.8826327788596064,2,"Design, Society, Culture and Environment",Theory
DE 302,8.173913043478262,1.852804062224026,3,Animation Design,Lab
DE 303,8.015384615384615,2.7951699837623054,3,Information Graphics and Visualisation,Lab
DE 305,8.44,1.8490768485120708,3,Moving Image Design,Lab
DE 307,8.404761904761905,2.6068694363514893,3,Product Design - I,Lab
DE 309,8.112676056338028,3.876809246705331,3,Design for Interactive Media,Lab
DE 315,7.613138686131387,3.746516564640274,3,Applied Ergonomics,Theory
DE 331,8.830065359477125,6.8194530305750245,3,"Design, Technology and Innovation",Theory
DE 403,7.91970802919708,2.34355511617739,4,Studio Project I,Theory
DE 405,7.956521739130435,1.7931789317741422,4,Studio Project II,Theory
DE 431,8.87603305785124,7.426240782516639,4,Global Design Thoughts and Discourse,Theory
DE 601,8.952380952380953,3.897393965044361,6,Introduction to Studio Photography,Lab
DE 603,8.920634920634921,6.382706497159624,6,Presentation and Communication Skills,Lab
DE 605,8.753846153846155,6.106521932706064,6,Workshop Skills,Lab
DE 607,9.0,6.052045466647839,6,Studies in Form-1,Theory
DE 609,8.873015873015873,5.854595445447763,6,Product Design-1,Theory
DE 610,8.35820895522388,4.142730377733856,6,Nature of Materials and Processes,Theory
DE 611,8.261538461538462,4.284412431508971,6,Elements of Design,Theory
DE 613,8.620253164556962,5.312272256107789,6,Visual Language Syntactics,Lab
DE 615,8.76923076923077,5.475693985062894,6,Studies in Typography,Theory
DE 617,9.075757575757576,6.975754287033169,6,Introduction to Advanced Photography,Lab
DE 619,8.415384615384616,4.016493871449634,6,The Speaking Image,Theory
DE 621,8.640625,3.5437605267053227,6,Media Technology,Theory
DE 623,8.953846153846154,6.643055159110417,6,Visual Design,Lab
DE 625,8.5,5.5930224549085255,6,Introduction to Filmmaking,Lab
DE 627,7.147651006711409,2.061311989611264,6,Indian Thought and Tradition,Theory
DE 629,8.604166666666666,4.636945385808849,6,Introduction to Photography,Lab
DE 631,8.13978494623656,3.589547638332536,6,Introduction to Typography,Lab
DE 633,8.217391304347826,3.74137382689159,6,"Colour, Composition and Layout",Lab
DE 635,8.97872340425532,5.223812165709679,6,Interface Design,Lab
DE 637,7.923076923076923,1.7609317159521989,6,User Studies,Lab
DE 639,8.108695652173912,2.7491692732457955,6,Usability Evaluation,Theory
DE 641,9.295081967213116,6.062066608535329,6,"Interactions, Media, Senses",Theory
DE 643,8.319148936170214,1.9973167995849992,6,Digital Animation-1,Theory
DE 645,8.666666666666666,2.6779834109088987,6,Animation Theory-1,Theory
DE 647,8.708333333333334,3.284202830226948,6,Animation Principles-1,Theory
DE 649,8.541666666666666,3.526380618194543,6,Animation Design-1,Theory
DE 651,9.081967213114757,4.153886184119533,6,Sketching and Anatomy-1,Theory
DE 653,9.073170731707316,3.89369339826584,6,Material and Manufacturing,Theory
DE 655,9.292682926829269,4.001777790694028,6,Automobile Engineering and Technology,Theory
DE 657,8.195121951219512,1.6206676497492616,6,Vehicle Ergonomics,Theory
DE 659,8.536585365853659,2.335785069583429,6,Forms Space and Order,Lab
DE 661,8.642857142857142,3.1927294210357373,6,Mobility Design-1,Theory
DE 663,8.484375,4.934912115963385,6,Sketching-1,Lab
DE 665,8.395348837209303,2.5811558353901245,6,Model Making-1,Lab
DE 669,9.24626865671642,8.410512874638423,6,Packaging and Label Design,Lab
DE 673,8.5,3.13078428645015,6,Sketching for Interaction Design,Theory
DE 675,8.512195121951219,2.1509381756224024,6,Sketchning for Mobilty and Vehicle Design,Theory
DE 679,8.604651162790697,4.667563604678855,6,Experimental Animation,Lab
DE 701,8.166666666666666,2.643804738088825,7,Visual Ergonomics & Human Perception,Theory
DE 702,8.00374531835206,1.845192073105025,7,Arts Design and Society-1,Theory
DE 705,8.26984126984127,3.0372865078589184,7,Interactive Data Visualization,Theory
DE 707,7.796875,3.197717377049472,7,Design Research Methodologies,Theory
DE 709,7.901960784313726,2.352987385340545,7,Sound and Camera,Theory
DE 711,8.78,4.072456579767429,7,Animation Production,Theory
DE 713,8.652173913043478,2.518870159384845,7,Seminar and Critical Writing,Theory
DE 715,8.338235294117647,2.6474763915375865,7,Pattern Language for Interaction Design,Theory
DE 721,8.261538461538462,2.709541868954261,7,Representation Techniques for Animation,Theory
DE 801,8.275862068965518,1.2373589516258623,8,Mini Project-I,Other Project
DE 803,7.908333333333333,2.339326854690325,8,Quantitative Design Research Methods,Theory
DEP301,8.381294964028777,6.792383723778742,3,Collaborative Design Project,Other Project
DEP304,8.093023255813954,4.161883255113017,3,Summer Project (Focus on Industry Experience),Other Project
DEP501,6.2631578947368425,1.811080988392166,5,Design Research Project-Part I,Other Project
DEP701,8.531578947368422,5.495660555904692,7,M.Des. Project-1,Other Project
DEP702,6.769230769230769,3.252162679659579,7,M.Des. Project- 2,Other Project
DEP703,8.058365758754864,4.361697747012479,7,M.Des. Project- 3,Other Project
DEP403,7.606741573033708,3.526278998743438,4,Design Research Seminar I,Seminar
IE 501,7.838495575221239,3.733837025143949,5,Optimization Models,Theory
IE 503,7.026773761713521,3.0119493730712508,5,Operations Analysis,Theory
IE 507,8.435,6.234401880194173,5,Modeling & Computation Lab,Lab
IE 509,8.709090909090909,4.194411974118885,5,Computer Programming Lab,Lab
IE 605,7.614678899082569,2.907154811509471,6,Engineering Statistics,Theory
IE 609,7.168571428571428,2.3054354187422037,6,Mathematical Optimisation Techniques,Theory
IE 621,6.522427440633245,1.6107023811554466,6,Probability and Stochastic Processes I,Theory
IE 643,5.626780626780627,1.1981756196812878,6,Deep Learning - Theory and Practice,Theory
IE 688,9.033333333333331,2.1157547718527825,6,R & D Project,Other Project
IE 802,8.384615384615385,3.4365333016003365,8,Topics in Industrial Engineering and Operations Research,Theory
IES801,8.826086956521738,2.16776351046254,8,Seminar,Seminar
MA 108,6.515807392996109,0.6615321329622205,1,Differential Equations,Theory
MA 109,6.781004522732682,1.4488600061148915,1,Calculus I,Theory
MA 111,6.502348520432128,1.828069703798774,1,Calculus II,Theory
MA 205,6.5651074589127685,2.527603282799064,2,Complex Analysis,Theory
MA 401,7.019047619047619,2.664720110684109,4,Linear Algebra,Theory
MA 403,6.1923076923076925,1.7959184991470654,4,Real Analysis,Theory
MA 417,6.88659793814433,2.2400958294604463,4,Ordinary Differential Equations,Theory
MA 419,6.652671755725191,3.098946856079455,4,Basic Algebra,Theory
MA 503,6.638418079096045,1.5730856761287524,5,Functional Analysis,Theory
MA5101,7.228571428571429,1.2389967070451562,5,Algebra II,Theory
MA5102,7.177777777777778,1.711749567066169,5,Basic Algebraic Topology,Theory
MA 515,7.728323699421965,3.1080354271408845,5,Partial Differential Equations,Theory
MA 521,6.689655172413793,1.186472866810453,5,Theory of Analytic Functions,Theory
MA 523,6.926315789473684,1.9741904866755504,5,Basic Number Theory,Theory
MA 538,8.321428571428571,2.522355607491011,5,Representation Theory of Finite Groups,Theory
MA 811,8.757575757575758,1.812771497225976,8,Algebra I,Theory
MA 813,8.555555555555555,2.5461157201698503,8,Measure Theory,Theory
MA 815,8.555555555555555,1.7517225874519575,8,Differential Topology,Theory
MA 817,8.666666666666666,2.362175404046768,8,Partial Differential Equations I,Theory
MA 833,8.567567567567568,3.1160473855877897,8,Weak Convergance and Martingale Theory,Theory
MA 863,8.75,1.831083644814388,8,Theoretical Statistics I,Theory
SI 419,6.818604651162791,2.708711788228205,4,Combinatorics,Theory
SI 423,7.251572327044025,2.352615715515283,4,Linear Algebra and its Applications,Theory
SI 503,8.808510638297872,6.0890918729577495,5,Categorical Data Analysis,Theory
SI 505,8.816901408450704,5.745906094004475,5,Multivariate Analysis,Theory
SI 507,6.994252873563219,1.8466038359458392,5,Numerical Analysis,Theory
SI 515,6.513761467889908,1.3474520164017925,5,Statistical Techniques in Data Mining,Theory
ME 119,8.774572127139365,7.005271360893125,1,Engineering Graphics & Drawing,Lab
ME 201,7.080476900149031,2.51861768537566,2,Solid Mechanics,Theory
ME 209,7.143665158371041,2.689514150584212,2,Thermodynamics,Theory
ME 219,7.262180974477959,3.274738503870417,2,Fluid Mechanics,Theory
ME 221,7.275340393343419,2.82367985021431,2,Structural Materials,Theory
ME 311,7.0344403444034445,2.5649417924150866,3,Microprocessors and Automatic Control,Theory
ME 409,7.75,3.0727690192219965,4,Intelligent Manufacturing Systems Lab,Lab
ME 415,7.53125,3.388428218637205,4,Computational Fluid Dynamics and Heat Transfer,Theory
ME 477,7.451612903225806,2.3962986012056984,4,Introduction to Optimization,Theory
ME 601,6.491304347826087,1.3512653816687874,6,Stress Analysis,Theory
ME 603,7.124444444444444,3.7971635441447416,6,Kinematics and Dynamics of Machinery,Theory
ME6101,8.041666666666666,3.00911604198875,6,Lattice Dynamics and Thermal Energy Transport,Theory
ME6102,8.0,2.591107326844338,6,Design of Mechatronic Systems,Theory
ME6110,6.987951807228916,2.1367833598337342,6,Nanomanufacturing Processes,Theory
ME 617,8.195876288659793,5.337461849324491,6,Rapid Product Development,Theory
ME 651,6.783783783783784,2.050715040311585,6,Fluid Dynamics,Theory
ME 661,7.026431718061674,2.793063560600218,6,Advanced Thermodynamics & Combustion,Theory
ME 662,7.4375,1.1510445674003214,6,Convective Heat and Mass Transfer,Theory
ME 663,7.20983606557377,2.536178966621525,6,Advanced Heat Transfer,Theory
ME 669,8.454545454545455,4.553929435398268,6,Design for Manufacturing,Theory
ME 673,7.43398533007335,3.173100158639273,6,Mathematical Methods in Engineering,Theory
ME 681,7.540983606557377,1.826696251017374,6,Thermal Environmental Engg,Theory
ME 694,8.360576923076923,7.054447777273936,6,Seminar,Seminar
ME 704,7.896995708154506,4.563994325349419,7,Computational Methods in Thermal & Fluid Engg,Theory
ME 710,7.457831325301205,2.7699224708421206,7,Vibration Engg.,Theory
ME 735,8.699186991869919,6.2395861693108765,7,Computer Graphics and Product Modeling,Theory
ME 760,6.883333333333334,1.5981331761751036,7,Fuels and Combustion,Theory
ME 773,7.124031007751938,3.261352370610717,7,Reliability Modelling and Analysis for Engineering Systems,Theory
ME 781,7.531017369727047,3.273691037851961,7,Statistical Machine Learning and Data Mining,Theory
ME 782,6.748427672955975,2.422286224151122,7,Design Optimization,Theory
ME 785,7.149253731343284,2.784606884017815,7,Machining Processes,Theory
ME 786,7.533333333333333,3.4357600508428834,7,Welding Processes,Theory
ME 787,6.923076923076923,2.2733625356900555,7,Deformation Processes,Theory
ME 788,8.01063829787234,4.080485823951591,7,Liquid Material Processing,Theory
ME 791,8.325,3.116942513963841,7,Acoustic Devices,Theory
MES801,8.982608695652173,6.299715222430691,8,Seminar,Seminar
IWE708,8.454545454545455,1.7902196791076488,7,Operations and Manufacturing Management,Theory
IWE709,8.577777777777778,2.236509848894966,7,Strategic Cost Analysis,Theory
IWE716,7.844444444444444,2.324313784259936,7,Macroeconomics,Theory
MG 401,7.905063291139241,2.784545355510702,4,Marketing Management,Theory
MG 403,7.8076923076923075,3.040131463097709,4,Accounting and Finance,Theory
MGT801,8.631578947368421,3.603310839877425,8,Introduction to Research Methods,Theory
MNG802,7.6421052631578945,1.84331902432754,8,Statistics for Management Research,Theory
MNG803,6.102564102564102,1.8653919841485145,8,Economics,Theory
SOM601,8.157446808510638,3.701316609351548,6,Communication and Interpersonal Skill,Theory
SOM602,7.841991341991342,2.6225130183443555,6,Microeconomics,Theory
SOM603,7.707368421052632,2.999632569293944,6,Fundamentals of Financial and Managerial Accounting,Theory
SOM604,7.633047210300429,1.7365962721288748,6,Marketing Management - I,Theory
SOM605,6.877155172413793,1.285325285967351,6,Statistical Methods,Theory
SOM606,7.231422505307855,1.6364549787388007,6,Corporate Finance - I,Theory
SOM607,7.067685589519651,1.3478156897160178,6,Macroeconomics,Theory
SOM608,8.043196544276459,2.953051232093561,6,Decision Models in Management,Theory
SOM609,8.313978494623656,4.220045226451645,6,Information Systems,Theory
SOM610,7.354347826086957,2.212613347811616,6,Marketing Management - II,Theory
SOM611,7.280254777070064,1.8728275911606167,6,Operations Management – I,Theory
SOM626,8.415841584158416,4.243423045784224,6,Advanced Planning and Scheduling,Theory
SOM633,8.319526627218934,3.6004589231406405,6,Quality Management,Theory
SOM637,8.406015037593985,4.381399240637179,6,Project Management,Theory
SOM650,7.940476190476191,2.606758232752401,6,"Mergers, Acquisitions and Business Valuation",Theory
SOM651,6.75,1.289966592143606,6,International Finance,Theory
SOM653,7.875,1.7943545902699956,6,Security Analysis and Portfolio Management,Theory
SOM654,7.666666666666667,2.008209110673859,6,Fixed Income Securities,Theory
SOM655,7.595959595959596,1.8109262328955555,6,Derivatives and Risk Management,Theory
SOM661,7.98314606741573,2.681573158156684,6,Advertising and Media Management,Theory
SOM663,8.434782608695652,4.45105432960115,6,Brand Management,Theory
SOM677,8.543478260869565,4.118572967175202,6,Management of Change,Theory
SOM689,7.9655172413793105,1.6872503794535263,6,International Trade,Theory
SOM690,8.344961240310077,3.837268644601044,6,Software Project Management,Theory
SOM697,8.193832599118943,3.529817780012146,6,Electronic Business Strategies and Implementation,Theory
SOM703,8.0,3.0733057910597066,7,Sales and Distribution Management,Theory
SOM704,8.009569377990431,2.854033466428957,7,Foundations of Private Equity and Venture Capital,Theory
SOM705,8.703007518796992,4.953342422738487,7,Supply Chain Optimization,Theory
IWE705,8.355555555555556,1.449309363038689,7,Marketing Management,Theory
MGS802,9.097560975609756,2.905624481582306,8,Seminar,Seminar
SOM646,8.368421052631579,3.932511253656487,6,Business Dynamics Modeling and Simulation,Theory
MM 201,6.307692307692308,0.7013745754136861,2,Structure of Materials,Theory
MM 217,7.079012345679012,2.4176001029655887,2,Data Analysis and Interpretation,Theory
MM 305,6.62,2.242073233385532,3,Kinetics of Processes,Theory
MM 396,7.132978723404255,4.32890370255045,3,Seminar,Seminar
MM 409,6.919540229885057,1.4372102634605537,4,Colloidal & Interfacial Science,Theory
MM 433,8.746236559139785,6.14282271702257,4,Manufacturing Process Seminar,Seminar
MM 435,8.501340482573726,5.066285507848361,4,Instrumentation and controls laboratory,Lab
MM 447,7.411290322580645,3.262453083948389,4,Materials for Sustainable Development,Theory
MM 452,8.070175438596491,2.556002799439099,4,Plant Engineering,Theory
MM 453,8.014613778705638,4.029689947317477,4,Engineering Polymers & Composites,Theory
MM 474,7.586734693877551,3.5571172981636496,4,Science and Technology of Thin Films,Theory
MM 492,9.40625,3.2530495687373326,4,B.Tech Project I,Other Project
MM 621,8.505263157894737,5.839205459509911,6,Advanced Physical and Mechanical Metallurgy,Theory
MM 641,8.717391304347826,5.569313587773262,6,Numerical Methods in Materials Processing,Theory
MM 651,7.668161434977579,3.938519455408951,6,Thermodynamics of Materials,Theory
MM 654,7.471264367816092,2.152585261140739,6,Advanced Composites,Theory
MM 659,7.95575221238938,4.650263865355291,6,Transport Phenomena,Theory
MM 680,8.858695652173912,6.759941572654427,6,Welding Science and Technology,Theory
MM 681,8.4,4.135834333281064,6,Plastic Deformation and Microstructure Evolution,Theory
MM 695,8.338461538461539,2.4468712215079824,6,High Temperature Corrosion,Theory
MM 713,7.829787234042553,2.318686365151078,7,Aqueous Corrosion and its Control,Theory
MM 717,8.285714285714286,3.580824861177812,7,Electrochemical Materials Science,Theory
MM 719,8.33108108108108,5.942701058737195,7,Inttroduction to Ab-initio Methods in Materials Modelling,Theory
MM 724,9.13953488372093,3.9890973121938793,7,Plasma Processing of Materials,Theory
MM 729,8.426470588235293,2.772099822748905,7,Characterization of Materials for Corrosion Control,Theory
MM 730,7.394736842105263,2.6054131774779306,7,Topics in Mechanical Behaviour of Materials,Theory
MM 731,8.80794701986755,7.431437472138925,7,Experiments in Advanced Materials Processing (Lab),Lab
MM 732,8.633423180592992,5.363488378661006,7,Structural Characterization of Materials,Theory
MM 733,8.435897435897436,5.882810189956282,7,Mechanical Characterization of Materials,Theory
MM 734,8.902439024390244,4.294859256810331,7,Electrical Characterization of Materials,Theory
MM 735,9.254901960784316,5.528192797755326,7,Material Chracterization at High Temperatures,Theory
MM 737,7.743801652892562,3.942312861607576,7,Physical Metallurgy,Theory
MM 738,8.069230769230769,3.406702254092515,7,Physics of Materials,Theory
MM 748,8.777777777777779,2.5364054798922875,7,Fatigue of Materials,Theory
MMS801,9.231707317073171,7.172122969586378,8,Seminar,Seminar
MM 220,8.11328125,4.799600481257649,2,Computation Lab,Lab
PH 207,7.897435897435898,4.266453939989735,2,Introduction to Special Theory of Relativity,Theory
PH 215,7.221621621621622,3.0859444690616096,2,Thermal Physics,Theory
PH 217,6.577519379844961,2.6220136681130404,2,Classical Mechanics,Theory
PH 219,6.723618090452261,2.793897585411333,2,Data Analysis and Interpretation,Theory
PH 251,7.770491803278689,1.3522964926849843,2,Classical Mechanics,Theory
PH 253,8.84,1.873352797714295,2,Thermal and Statistical Physics,Theory
PH 303,9.425531914893616,5.244795186755259,3,Supervised Learning,Seminar
PH 401,7.253521126760563,2.993418837894445,4,Classical Mechanics,Theory
PH 403,7.516908212560386,2.555867000908409,4,Quantum Mechanics I,Theory
PH 405,8.01923076923077,4.679443859749256,4,Electronics,Theory
PH 407,7.333333333333333,2.320619723198706,4,Mathematical Physics I,Theory
PH 421,7.100418410041841,3.320966547369454,4,Photonics,Theory
PH 423,7.051282051282051,2.925521590266913,4,Quantum Mechanics II,Theory
PH 434,7.284,4.238066879869534,4,Programming Lab,Lab
PH 435,8.895454545454545,6.563110746456673,4,Electronics Lab IV (Microprocessors),Lab
PH 443,8.582914572864322,5.940857296626732,4,Electronics Laboratory,Lab
PH 505,6.960144927536232,1.734352060907046,5,Introduction to Nuclear & Particle Physics,Theory
PH 515,7.670212765957447,3.388720877343804,5,Introduction to Atomic and Molecular Physics,Theory
PH 517,6.747706422018348,2.004915178465232,5,Methods in Analytical Techniques,Theory
PH 523,7.0608108108108105,0.8366881665293887,5,Quantum Mechanics III,Theory
PH 543,8.104477611940299,2.351663055950167,5,Advanced Statistical Mechanics,Theory
PH 549,7.769230769230769,1.909379352063584,5,Physics of Biological Systems,Theory
PH 557,7.770491803278689,2.6495447066268727,5,Theoretical Condensed Matter Physics,Theory
PH 561,7.416666666666667,1.0250616534222616,5,Ultrafast Sciences,Theory
PH 563,7.37012987012987,2.5720754913438766,5,Group Theory Methods,Theory
PH 565,7.678571428571429,3.415899637402044,5,Semiconductor Physics,Theory
PH 567,7.590425531914893,2.7716604036340806,5,Non-linear Dynamics,Theory
PH 569,7.85,3.050278119000593,5,Applied Solid State Physics,Theory
PH 587,9.25974025974026,4.728990329030397,5,B.Tech Project I,Other Project
PH 595,9.203703703703704,7.67485452112435,5,M.Sc. project stage 1,Other Project
PHS801,9.58974358974359,4.864135524363626,8,Seminar,Seminar
PH 202,6.470899470899471,2.104838328582784,2,Waves & Oscillations & Optics,Theory
PS 601,8.333333333333334,3.545705820115162,6,Public Policy Theory I,Theory
PS 605,8.935483870967742,5.883102045083282,6,Social Science Perspective in Public Policy,Theory
PS 609,8.26923076923077,3.38268717787125,6,Research Methodology and Design,Theory
PS 621,8.685185185185185,3.838719565883681,6,Internship,Theory
PSS803,8.964285714285714,2.998032338372458,8,Internship/Experience Based Seminar,Seminar
PS 627,8.4,1.703353245103525,6,"Values in Public Policy: The Rhetoric of Political ""Isms""",Theory
PSS802,8.657894736842104,2.347008010400149,8,Seminar,Seminar
SC 301,7.212962962962963,2.2298283364280533,3,Linear and Nonlinear Systems,Theory
SC 617,8.196428571428571,2.8462494815816357,6,Adaptive Control Theory,Theory
SC 625,7.263565891472868,3.5161649820278944,6,Systems Theory,Theory
SC 629,6.225806451612903,1.3168043385794097,6,Introduction to Probability and Random Processes,Theory
SC 631,7.253846153846154,1.844007593789132,6,Games and Information,Theory
SC 639,7.793010752688172,3.2639883195263075,6,Mathematical Structures for Control,Theory
SC 694,6.9423076923076925,3.1086535651398464,6,Seminar,Seminar
SC 645,6.771929824561403,2.817345385443893,6,Intelligent Feedback and Control,Theory
USS801,8.6,1.6749696705370378,8,Seminar,Seminar
AE 234,6.588014981273409,1.3384777156753096,2,Aircraft Propulsion,Theory
AE 236,6.142857142857143,0.727439023198044,2,Compressible Fluid Mechanics,Theory
AE 314,8.871621621621621,7.30326924466601,3,Aircraft Structures Laboratory,Lab
AE 316,8.281456953642385,3.284847767965261,3,Aircraft Propulsion Laboratory,Lab
AE 429,9.0,4.569236246434182,4,Aircraft Design Project,Lab
AE 607,8.841269841269842,4.8516881439268165,6,Aerospace Propulsion Laboratory,Lab
AE 611,8.694444444444445,5.387085560011674,6,Aerodynamics Lab,Lab
AE 622,7.815789473684211,2.6702152990890045,6,Computing of High Speed Flows,Theory
AE 699,9.282608695652174,4.569051515861238,6,Control Systems Lab,Lab
AE 727,8.547169811320755,3.5530806669780053,7,Aircraft Structural Mechanics Lab.,Lab
AE 238,7.587020648967552,4.173517515000519,2,Aerospace Structural Mechanics,Theory
AE 240,6.66896551724138,2.0241897989551703,2,Spaceflight Mechanics,Theory
AE 242,7.097165991902834,1.623030960202521,2,Aerospace Measurements Laboratory,Lab
AE 332,7.085106382978723,1.7465898711660757,3,Aircraft Design,Theory
AE 427,7.877076411960133,3.440829778123292,4,Control Systems Laboratory,Lab
AE 648,7.375,1.1017854867271757,6,Energy Methods in Structural Mechanics,Theory
AE 649,7.04,2.2118034310144377,6,Finite Element Method,Theory
AE 665,6.475,2.186891070109744,6,Aircraft Stealth Technology,Theory
AE 667,6.521367521367521,2.286599750527035,6,Rotary Wing Aerodynamics,Theory
AE 678,6.833333333333333,2.0078912070267303,6,Aeroelasticity,Theory
AE 706,7.196850393700787,3.1044385384815856,7,Computational Fluid Dynamics,Theory
AE 713,5.25531914893617,0.605642502047978,7,Space Flight Dynamics,Theory
AE 714,8.429752066115702,4.521590421856819,7,Aircraft Design,Theory
AE 717,8.379310344827585,2.818423418637749,7,Aircraft Flight Dynamics,Theory
AE 738,6.425,1.8692389884555989,7,Tensors for Engineers,Theory
AE 755,7.946341463414634,3.831491668186866,7,Optimization for Engineering Design,Theory
BB 101,7.8324120603015075,4.477091027197492,1,Biology,Theory
BB 519,9.424657534246576,8.29696962994533,5,Project Proposal Presentation and Dissertation,Other Project
BB 653,8.566037735849056,5.449224763466854,6,Experimental Techniques in Biomedical Engineering,Lab
BB 602,8.674603174603174,6.457038805768079,6,Research philosophy,Theory
BB 610,9.524425287356324,8.52679893079459,6,Biomedical Microsystems,Theory
BB 611,8.73913043478261,2.605422346499465,6,Cell Cycle and Epigenetic Control,Theory
BB 612,8.756756756756756,2.980497456393592,6,Cell Mechanics and Mechanobiology,Theory
BB 616,8.061224489795919,3.916935665839398,6,Cellular and Tissue Engineering,Theory
BB 621,7.487288135593221,2.360785840524856,6,Biostatistics,Theory
BB 623,8.710526315789474,3.6583461195142135,6,Mechanisms of Bacterial Pathogenesis,Theory
BB 624,7.594594594594595,3.1069169394253646,6,Microfluidics: physics and applications,Theory
BB 640,9.117647058823527,4.025669668341598,6,Biologics,Theory
BB 642,8.74,3.072845757268584,6,Protein Crystallography,Theory
BB 655,8.205128205128204,3.073734222001681,6,Introduction to Biomedical Optics,Theory
BB 658,8.324324324324325,1.3324194675060954,6,Principles of Tissue Engineering,Theory
BB 662,8.923076923076923,2.7818118572413897,6,Biological Kinetics,Theory
BB 702,9.898550724637682,8.974288007203505,7,Technology in Surgical Reconstruction,Theory
BBS802,9.224137931034482,4.859118062815371,8,Seminar,Seminar
CE 102,6.783429040196883,2.57504875371706,1,Engineering Mechanics,Theory
CE 232,7.15625,2.945678940056167,2,Building Materials and Construction,Theory
CE 607,7.6,1.3639113555897444,6,Numerical Techniques in Hydraulic Engg,Theory
CE 694,8.770186335403727,4.5046004021781245,6,Seminar,Seminar
CE 695,9.352941176470589,1.6711276339319123,6,R & D Project,Other Project
CE 706,8.384615384615385,1.5862499866101556,7,Ocean Engineering Laboratory,Lab
CE 718,8.26923076923077,4.512738005611263,7,Construction Materials Laboratory,Lab
CE 725,7.3076923076923075,3.6538494971303423,7,Construction Economics and Finance,Theory
CE 230,8.507142857142858,6.305199287185442,2,Hydraulic Engineering Lab,Lab
CE 433,6.942028985507246,1.7617909727682886,4,Water Supply and Waste Water Engineering,Theory
CE 444,6.0,0.9946503820887272,4,Advanced Geotechnical Analysis,Theory
CE 448,7.802631578947368,2.673242501224764,4,Prestressed Concrete Design,Theory
CE 465,6.810344827586207,2.914437924500398,4,Numerical Methods in Civil Engineering,Theory
CE 495,9.306122448979592,4.990265024256499,4,BTP II,Other Project
CE 608,7.3125,2.200791396197028,6,Eco-hydro-Climatology,Theory
CE 610,7.180851063829787,2.716551685654676,6,Introduction to Earthquake Engineering,Theory
CE 620,7.475675675675675,3.9488004278571744,6,Finite Element Methods,Theory
CE 629,8.333333333333334,1.6366648762111085,6,Elastic Waves in Solids,Theory
CE 645,7.809523809523809,1.33761677652512,6,Geotechnical Centrifuge Modelling,Theory
CE 651,7.87,4.954821379611343,6,Bridge Engineering,Theory
CE 652,7.666666666666667,1.5829741605208276,6,Foundations of Offshore Structures,Theory
CE 654,8.397260273972602,4.634238743593352,6,Advanced Hydrological Analysis and Design,Theory
CE 658,7.273224043715847,4.015357252916124,6,Hydrogeomorphology,Theory
CE 659,7.913043478260869,1.111959124636409,6,Advanced Surveying,Theory
CE 676,7.259740259740259,2.067407324162684,6,Water Resources Systems,Theory
CE 677,7.972972972972973,1.4242605917953373,6,Design and Testing of Pile Foundations,Theory
CE 684,8.80952380952381,1.799230071956672,6,Advanced Geotechnical Earthquake Engineering,Theory
CE 687,5.904761904761905,2.7584694578112425,6,Offshore Construction,Theory
CE 699,8.931818181818182,3.42780508073477,6,Transportation Systems Studio,Lab
CE 707,8.1875,2.906830761123885,7,"Coastal, Port and Harbor Engineering",Theory
CE 708,7.3076923076923075,1.1943601387630685,7,Offshore Engineering,Theory
CE 719,7.029045643153527,3.36087319562298,7,Construction Contracts,Theory
CE 722,8.796875,5.416728022711856,7,Construction Management Studio,Theory
CE 723,7.453125,3.865267466953605,7,Construction Equipment and Personnel Management,Theory
