,Course Code,F-avg,nXX
314,GNRS01,1.6329294759390487,0
315,GP 401,5.472513972652706,4
316,GP 403,2.290524940353613,4
317,GP 407,5.3747190040568125,4
318,GP 413,3.804027215484475,4
319,GP 503,0.43298153283337504,5
320,GP 505,0.4525539866337033,5
321,GP 519,4.7804146585053235,5
322,GP 521,5.207997851291713,5
323,GS 407,7.219003988848466,4
324,GS 415,6.264477827848435,4
325,GS 421,4.93619515556951,4
326,GS 435,7.693521735216466,4
327,GS 507,4.188398208303648,5
328,GS 517,3.6051430349579796,5
329,GS 527,4.917420362051447,5
330,GS 535,5.276079470142996,5
331,GS 537,4.006594587858521,5
332,GS 539,7.688615523964742,5
333,GS 543,4.80632725144759,5
334,GS 647,1.8285712738010298,6
335,GS 649,5.421935243159994,6
336,GS 663,2.6540262037565485,6
337,GS 671,4.019934657020569,6
338,GS 673,3.0695942490399664,6
339,GS 675,4.403134722549063,6
340,GS 679,2.5138468893763424,6
341,GS 683,3.1208403933287583,6
342,GS 688,4.470413061842499,6
344,GS 691,3.813812713158415,6
345,GS 694,5.887626942561917,6
346,GS 701,2.1370677370659683,7
347,GS 815,2.0636389393518986,8
349,EC 101,3.182161051415332,1
350,HS 200,2.91400269601957,2
351,EC 221,2.7853898137039104,2
352,EC 223,3.5189766929014183,2
353,EC 225,1.8095302946643648,2
354,EC 227,2.7956825086227814,2
355,HS 301,2.2824463004073525,3
356,HS 303,3.2869949296458474,3
357,HS 305,3.216733626186495,3
358,EC 306,2.7652406833481025,3
359,EC 308,2.9463222114303735,3
360,EC 311,3.255812471169002,3
361,EC 313,2.680539967249566,3
362,EC 315,3.134891841183319,3
363,EC 402,2.9730061926837044,4
364,HS 412,3.1153454595439296,4
365,HS 418,3.1811424000053266,4
367,HS 436,4.10030134624233,4
368,EC 495,2.9975822016977136,4
369,HS 501,3.1222496605473955,5
370,HS 503,2.06656412138333,5
371,HS 505,1.705831938259254,5
372,HS 636,1.4004899044368229,6
373,HS 637,2.3633127808484957,6
374,HS 694,3.5407796433021446,6
375,HS 800,4.0980487265487024,8
376,EC 802,1.6916427453872525,8
377,HS 807,4.066866968448944,8
378,HS 811,2.4806641197508887,8
379,HS 842,2.3464430537242804,8
380,ECS801,6.137082838250052,8
381,HS 449,2.768443580123378,4
382,HS 640,0.7626870046525568,6
383,HS 804,2.120646864728058,8
384,DE 101,4.368204714158455,1
385,DE 103,6.110694033660694,1
386,DE 105,4.309791217495643,1
387,DE 121,4.215509624613903,1
388,DE 123,0.21974322033095958,1
389,DE 125,1.7317809943012628,1
390,DE 131,5.208999665258323,1
391,DE 133,7.138605058572472,1
392,DE 201,4.252976647712022,2
393,DE 203,3.865259871751312,2
394,DE 205,4.596418112689871,2
395,DE 207,1.8402477223724287,2
396,DE 209,0.9959912217300577,2
397,DE 221,3.5289739204214903,2
398,DE 231,1.8826327788596064,2
399,DE 302,1.852804062224026,3
400,DE 303,2.7951699837623054,3
401,DE 305,1.8490768485120708,3
402,DE 307,2.6068694363514893,3
403,DE 309,3.876809246705331,3
404,DE 315,3.746516564640274,3
405,DE 331,6.8194530305750245,3
406,DE 403,2.34355511617739,4
407,DE 405,1.7931789317741422,4
408,DE 431,7.426240782516639,4
409,DE 601,3.8973939650443605,6
410,DE 603,6.382706497159624,6
411,DE 605,6.106521932706064,6
412,DE 607,6.052045466647839,6
413,DE 609,5.854595445447763,6
414,DE 610,4.142730377733856,6
415,DE 611,4.284412431508971,6
416,DE 613,5.312272256107789,6
417,DE 615,5.475693985062894,6
418,DE 617,6.975754287033169,6
419,DE 619,4.016493871449634,6
420,DE 621,3.5437605267053227,6
421,DE 623,6.643055159110417,6
422,DE 625,5.5930224549085255,6
423,DE 627,2.061311989611264,6
424,DE 629,4.636945385808849,6
425,DE 631,3.589547638332536,6
426,DE 633,3.74137382689159,6
427,DE 635,5.2238121657096785,6
428,DE 637,1.7609317159521989,6
429,DE 639,2.7491692732457955,6
430,DE 641,6.062066608535329,6
431,DE 643,1.9973167995849992,6
432,DE 645,2.6779834109088987,6
433,DE 647,3.284202830226948,6
434,DE 649,3.526380618194543,6
435,DE 651,4.153886184119533,6
436,DE 653,3.89369339826584,6
437,DE 655,4.001777790694028,6
438,DE 657,1.6206676497492616,6
439,DE 659,2.335785069583429,6
440,DE 661,3.1927294210357373,6
441,DE 663,4.934912115963385,6
442,DE 665,2.5811558353901245,6
443,DE 669,8.410512874638423,6
444,DE 673,3.13078428645015,6
445,DE 675,2.1509381756224024,6
447,DE 679,4.667563604678855,6
448,DE 701,2.643804738088825,7
449,DE 702,1.845192073105025,7
450,DE 705,3.0372865078589184,7
451,DE 707,3.1977173770494716,7
452,DE 709,2.352987385340545,7
453,DE 711,4.072456579767429,7
454,DE 713,2.5188701593848455,7
455,DE 715,2.6474763915375865,7
456,DE 721,2.709541868954261,7
457,DE 801,1.2373589516258623,8
458,DE 803,2.339326854690325,8
460,DEP301,6.792383723778742,3
461,DEP304,4.161883255113017,3
462,DEP501,1.8110809883921661,5
463,DEP701,5.495660555904692,7
464,DEP702,3.252162679659579,7
465,DEP703,4.361697747012479,7
466,DEP403,3.5262789987434386,4
467,IE 501,3.7338370251439494,5
468,IE 503,3.0119493730712508,5
469,IE 507,6.234401880194173,5
470,IE 509,4.194411974118885,5
471,IE 605,2.907154811509471,6
472,IE 609,2.3054354187422033,6
473,IE 621,1.6107023811554466,6
474,IE 643,1.1981756196812878,6
475,IE 688,2.1157547718527825,6
476,IE 802,3.4365333016003365,8
477,IES801,2.16776351046254,8
478,MA 108,0.6615321329622205,1
479,MA 109,1.4488600061148915,1
480,MA 111,1.828069703798774,1
481,MA 205,2.5276032827990638,2
482,MA 401,2.664720110684109,4
483,MA 403,1.7959184991470654,4
484,MA 417,2.2400958294604463,4
485,MA 419,3.098946856079455,4
486,MA 503,1.5730856761287524,5
487,MA5101,1.2389967070451562,5
488,MA5102,1.7117495670661693,5
489,MA 515,3.1080354271408845,5
490,MA 521,1.186472866810453,5
491,MA 523,1.9741904866755502,5
492,MA 538,2.522355607491011,5
493,MA 811,1.8127714972259756,8
494,MA 813,2.5461157201698503,8
495,MA 815,1.7517225874519577,8
496,MA 817,2.3621754040467677,8
497,MA 833,3.1160473855877897,8
498,MA 863,1.8310836448143877,8
500,SI 419,2.708711788228205,4
501,SI 423,2.352615715515283,4
502,SI 503,6.0890918729577495,5
503,SI 505,5.745906094004475,5
504,SI 507,1.8466038359458392,5
505,SI 515,1.3474520164017925,5
507,ME 119,7.005271360893125,1
508,ME 201,2.5186176853756597,2
509,ME 209,2.6895141505842117,2
510,ME 219,3.274738503870417,2
511,ME 221,2.82367985021431,2
512,ME 311,2.5649417924150866,3
513,ME 409,3.0727690192219965,4
514,ME 415,3.3884282186372046,4
515,ME 477,2.3962986012056984,4
517,ME 601,1.3512653816687874,6
518,ME 603,3.7971635441447416,6
519,ME6101,3.00911604198875,6
520,ME6102,2.591107326844338,6
521,ME6110,2.1367833598337342,6
522,ME 617,5.337461849324491,6
523,ME 651,2.050715040311585,6
524,ME 661,2.793063560600218,6
525,ME 662,1.1510445674003214,6
526,ME 663,2.536178966621525,6
527,ME 669,4.553929435398268,6
528,ME 673,3.173100158639273,6
529,ME 681,1.826696251017374,6
530,ME 694,7.054447777273936,6
531,ME 704,4.563994325349419,7
532,ME 710,2.7699224708421206,7
533,ME 735,6.2395861693108765,7
534,ME 760,1.5981331761751036,7
535,ME 773,3.261352370610717,7
536,ME 781,3.273691037851961,7
537,ME 782,2.422286224151122,7
538,ME 785,2.784606884017815,7
539,ME 786,3.4357600508428834,7
540,ME 787,2.2733625356900555,7
541,ME 788,4.080485823951591,7
542,ME 791,3.116942513963841,7
543,MES801,6.299715222430691,8
544,IWE708,1.7902196791076488,7
545,IWE709,2.236509848894966,7
546,IWE716,2.324313784259936,7
547,MG 401,2.784545355510702,4
548,MG 403,3.040131463097709,4
549,MGT801,3.603310839877425,8
550,MNG802,1.8433190243275397,8
551,MNG803,1.8653919841485145,8
552,SOM601,3.701316609351548,6
553,SOM602,2.6225130183443555,6
554,SOM603,2.9996325692939436,6
555,SOM604,1.7365962721288748,6
556,SOM605,1.285325285967351,6
557,SOM606,1.6364549787388007,6
558,SOM607,1.3478156897160178,6
559,SOM608,2.953051232093561,6
560,SOM609,4.220045226451645,6
561,SOM610,2.212613347811616,6
562,SOM611,1.8728275911606171,6
563,SOM626,4.243423045784224,6
564,SOM633,3.6004589231406405,6
565,SOM637,4.381399240637179,6
567,SOM650,2.606758232752401,6
568,SOM651,1.289966592143606,6
569,SOM653,1.7943545902699956,6
570,SOM654,2.008209110673859,6
571,SOM655,1.8109262328955553,6
572,SOM661,2.681573158156684,6
573,SOM663,4.45105432960115,6
574,SOM677,4.118572967175202,6
575,SOM689,1.6872503794535265,6
576,SOM690,3.837268644601044,6
577,SOM697,3.529817780012146,6
578,SOM703,3.0733057910597066,7
579,SOM704,2.8540334664289575,7
580,SOM705,4.953342422738487,7
581,IWE705,1.449309363038689,7
582,MGS802,2.905624481582306,8
583,SOM646,3.932511253656487,6
584,MM 201,0.7013745754136861,2
586,MM 217,2.4176001029655887,2
587,MM 305,2.2420732333855318,3
588,MM 396,4.32890370255045,3
589,MM 409,1.4372102634605537,4
590,MM 433,6.14282271702257,4
591,MM 435,5.066285507848361,4
592,MM 447,3.262453083948389,4
593,MM 452,2.556002799439099,4
594,MM 453,4.029689947317477,4
595,MM 474,3.5571172981636496,4
596,MM 492,3.2530495687373326,4
597,MM 621,5.839205459509911,6
598,MM 641,5.569313587773262,6
599,MM 651,3.938519455408951,6
600,MM 654,2.152585261140739,6
601,MM 659,4.650263865355291,6
602,MM 680,6.759941572654427,6
603,MM 681,4.135834333281064,6
604,MM 695,2.4468712215079824,6
605,MM 713,2.318686365151078,7
606,MM 717,3.580824861177812,7
607,MM 719,5.942701058737195,7
608,MM 724,3.9890973121938793,7
609,MM 729,2.772099822748905,7
610,MM 730,2.6054131774779306,7
611,MM 731,7.431437472138925,7
612,MM 732,5.363488378661006,7
613,MM 733,5.882810189956282,7
614,MM 734,4.294859256810331,7
615,MM 735,5.528192797755326,7
616,MM 737,3.9423128616075758,7
617,MM 738,3.406702254092515,7
618,MM 748,2.5364054798922875,7
619,MMS801,7.172122969586378,8
620,MM 220,4.799600481257649,2
621,PH 207,4.266453939989735,2
622,PH 215,3.0859444690616096,2
623,PH 217,2.6220136681130404,2
624,PH 219,2.7938975854113335,2
625,PH 251,1.3522964926849845,2
626,PH 253,1.873352797714295,2
627,PH 303,5.244795186755259,3
628,PH 401,2.9934188378944455,4
629,PH 403,2.555867000908409,4
630,PH 405,4.679443859749256,4
631,PH 407,2.320619723198706,4
632,PH 421,3.320966547369454,4
633,PH 423,2.925521590266913,4
634,PH 434,4.238066879869534,4
635,PH 435,6.563110746456673,4
636,PH 443,5.940857296626732,4
637,PH 505,1.734352060907046,5
638,PH 515,3.3887208773438036,5
639,PH 517,2.004915178465232,5
640,PH 523,0.8366881665293887,5
641,PH 543,2.351663055950167,5
642,PH 549,1.9093793520635842,5
643,PH 557,2.6495447066268727,5
644,PH 561,1.0250616534222616,5
645,PH 563,2.5720754913438766,5
646,PH 565,3.415899637402044,5
647,PH 567,2.7716604036340806,5
648,PH 569,3.0502781190005934,5
649,PH 587,4.728990329030397,5
650,PH 595,7.67485452112435,5
651,PHS801,4.864135524363626,8
652,PH 202,2.104838328582784,2
653,PS 601,3.545705820115162,6
654,PS 605,5.883102045083282,6
655,PS 609,3.38268717787125,6
657,PS 621,3.8387195658836806,6
658,PSS803,2.998032338372458,8
659,PS 627,1.703353245103525,6
660,PSS802,2.347008010400149,8
661,SC 301,2.2298283364280533,3
662,SC 617,2.8462494815816353,6
663,SC 625,3.5161649820278944,6
664,SC 629,1.3168043385794097,6
665,SC 631,1.844007593789132,6
666,SC 639,3.2639883195263075,6
667,SC 694,3.1086535651398464,6
669,SC 645,2.817345385443893,6
683,USS801,1.6749696705370378,8
685,AE 234,1.3384777156753096,2
686,AE 236,0.727439023198044,2
687,AE 314,7.30326924466601,3
688,AE 316,3.2848477679652612,3
689,AE 429,4.569236246434182,4
690,AE 607,4.8516881439268165,6
691,AE 611,5.387085560011674,6
692,AE 622,2.6702152990890045,6
693,AE 699,4.569051515861238,6
694,AE 727,3.5530806669780053,7
695,AE 238,4.173517515000519,2
696,AE 240,2.0241897989551703,2
697,AE 242,1.623030960202521,2
698,AE 332,1.7465898711660757,3
699,AE 427,3.440829778123292,4
701,AE 648,1.1017854867271757,6
702,AE 649,2.2118034310144377,6
703,AE 665,2.186891070109744,6
704,AE 667,2.286599750527035,6
705,AE 678,2.0078912070267303,6
706,AE 706,3.1044385384815856,7
707,AE 713,0.605642502047978,7
708,AE 714,4.521590421856819,7
709,AE 717,2.818423418637749,7
710,AE 738,1.8692389884555989,7
711,AE 755,3.831491668186866,7
712,BB 101,4.477091027197492,1
714,BB 519,8.29696962994533,5
715,BB 653,5.449224763466854,6
716,BB 602,6.457038805768079,6
717,BB 610,8.52679893079459,6
718,BB 611,2.6054223464994655,6
719,BB 612,2.980497456393592,6
720,BB 616,3.916935665839398,6
722,BB 621,2.360785840524856,6
723,BB 623,3.6583461195142135,6
724,BB 624,3.1069169394253646,6
725,BB 640,4.025669668341598,6
726,BB 642,3.072845757268584,6
727,BB 655,3.073734222001681,6
728,BB 658,1.3324194675060954,6
729,BB 662,2.7818118572413897,6
730,BB 702,8.974288007203505,7
731,BBS802,4.859118062815371,8
732,CE 102,2.5750487537170597,1
733,CE 232,2.945678940056167,2
734,CE 607,1.3639113555897444,6
735,CE 694,4.5046004021781245,6
736,CE 695,1.6711276339319123,6
737,CE 706,1.5862499866101556,7
738,CE 718,4.512738005611263,7
739,CE 725,3.6538494971303423,7
742,CE 230,6.305199287185442,2
743,CE 433,1.7617909727682886,4
744,CE 444,0.9946503820887271,4
745,CE 448,2.6732425012247636,4
746,CE 465,2.914437924500398,4
747,CE 495,4.990265024256499,4
748,CE 608,2.2007913961970282,6
749,CE 610,2.7165516856546756,6
750,CE 620,3.9488004278571744,6
751,CE 629,1.6366648762111085,6
752,CE 645,1.33761677652512,6
753,CE 651,4.954821379611343,6
754,CE 652,1.5829741605208276,6
755,CE 654,4.634238743593352,6
757,CE 658,4.015357252916124,6
758,CE 659,1.111959124636409,6
759,CE 676,2.067407324162684,6
760,CE 677,1.4242605917953373,6
761,CE 684,1.799230071956672,6
762,CE 687,2.7584694578112425,6
763,CE 699,3.42780508073477,6
764,CE 707,2.906830761123885,7
765,CE 708,1.1943601387630685,7
766,CE 719,3.3608731956229794,7
767,CE 722,5.416728022711856,7
768,CE 723,3.865267466953605,7
769,CE 743,1.313217578183059,7
770,CE 749,1.8550198997026595,7
771,CE 773,2.742595272469803,7
772,CE 780,3.1638161700834577,7
774,CH 220,1.9536245831931633,2
775,CH 224,2.8059273094723682,2
776,CH 408,4.721942278538174,4
777,CH 438,5.3522867849294675,4
778,CH 442,3.0702261349389866,4
779,CH 504,6.376505475244189,5
780,CH 560,1.6094970405053275,5
781,CH 578,5.726373087227327,5
783,CH 592,3.1189222072949216,5
784,CH 594,8.493051831227868,5
785,CH 596,1.777955972209254,5
786,CH 824,3.8889877349874333,8
787,CH 864,3.219269853232295,8
788,CHS802,9.149120158185456,8
789,CL 202,1.414165172632373,2
791,CL 407,1.5436180675017157,4
792,CL 433,3.233779433997999,4
793,CL 451,1.9573050376230239,4
794,CL 607,3.033538003894118,6
795,CLS802,7.199775710130633,8
796,CL 254,2.1629849344033043,2
